Height (mm);Total slice surface (mm²)
166.74;49888.815
166.86;49776.002
166.98;49663.319
167.10;49550.766
167.22;49438.350
167.34;49326.044
167.46;49213.879
167.58;49101.837
167.70;48989.933
167.82;48878.143
167.94;48766.479
168.06;48652.433
168.18;48527.163
168.30;48402.060
168.42;48277.113
168.54;48152.320
168.66;48027.701
168.78;47903.238
168.90;47778.945
169.02;47654.807
169.14;47530.825
169.26;47407.013
169.38;47283.356
169.50;47159.866
169.62;47036.540
169.74;46913.373
169.86;46778.588
169.98;46641.644
170.10;46504.899
170.22;46368.370
170.34;46232.025
170.46;46095.889
170.58;45959.956
170.70;45824.212
170.82;45688.679
170.94;45553.341
171.06;45418.211
171.18;45283.280
171.30;45148.542
171.42;45014.008
171.54;44868.655
171.66;44720.141
171.78;44571.878
171.90;44423.873
172.02;44276.108
172.14;44128.578
172.26;43981.295
172.38;43834.258
172.50;43687.479
172.62;43540.938
172.74;43394.634
172.86;43248.598
172.98;43102.793
173.10;42957.241
173.22;42797.169
173.34;42637.402
173.46;42477.934
173.58;42318.754
173.70;42159.878
173.82;42001.305
173.94;41843.020
174.06;41685.045
174.18;41527.363
174.30;41369.988
174.42;41212.910
174.54;41056.124
174.66;40899.631
174.78;40734.894
174.90;40563.931
175.02;40393.311
175.14;40223.058
175.26;40053.153
175.38;39883.618
175.50;39714.449
175.62;39545.633
175.74;39377.179
175.86;39209.068
175.98;39041.344
176.10;38873.958
176.22;38706.936
176.34;38532.764
176.46;38350.933
176.58;38169.534
176.70;37988.554
176.82;37808.011
176.94;37627.909
177.06;37448.218
177.18;37268.974
177.30;37090.158
177.42;36911.762
177.54;36733.794
177.66;36556.266
177.78;36379.168
177.90;36190.036
178.02;35997.835
178.14;35806.131
178.26;35614.942
178.38;35424.263
178.50;35234.092
178.62;35044.444
178.74;34855.303
178.86;34666.665
178.98;34478.552
179.10;34290.944
179.22;34103.844
179.34;33909.539
179.46;33706.973
179.58;33505.010
179.70;33303.660
179.82;33102.920
179.94;32902.776
180.06;32703.240
180.18;32504.323
180.30;32306.000
180.42;32108.298
180.54;31911.189
180.66;31714.690
180.78;31508.879
180.90;31296.464
181.02;31084.779
181.14;30873.810
181.26;30663.558
181.38;30454.024
181.50;30245.207
181.62;30037.110
181.74;29829.725
181.86;29623.064
181.98;29417.122
182.10;29209.628
182.22;28987.288
182.34;28765.804
182.46;28545.151
182.58;28325.365
182.70;28106.418
182.82;27888.330
182.94;27671.081
183.06;27454.687
183.18;27239.133
183.30;27024.444
183.42;26808.024
183.54;26576.422
183.66;26345.827
183.78;26116.239
183.90;25887.653
184.02;25660.066
184.14;25433.486
184.26;25207.910
184.38;24983.348
184.50;24759.780
184.62;24537.219
184.74;24303.413
184.86;24063.485
184.98;23824.751
185.10;23587.206
185.22;23350.850
185.34;23115.681
185.46;22881.706
185.58;22648.917
185.70;22417.317
185.82;22186.920
185.94;21945.056
186.06;21696.641
186.18;21449.639
186.30;21204.053
186.42;20959.885
186.54;20717.130
186.66;20475.783
